skills,experience,salary,location,job_interest,sector,education_level,job_id
"Anatomy, Patient Care, Medical Terminology",6,42472,Chlef,Healthcare,Health,Ingénieur,17367
"CRM, Sales Forecasting, Negotiation, Cold Calling, Customer Service",5,90487,Ghardaia,Sales,Business,High School,17368
"CRM, Sales Forecasting, Cold Calling",1,107579,Bejaia,Sales,Business,Master's,17369
"Excel, Investment, Budgeting, Financial Analysis, Risk Management",12,133524,Skikda,Finance,Business,Master's,17370
"Warehouse Ops, Supply Chain, Inventory Management, Routing",2,57080,Annaba,Logistics,Supply Chain,Technical Diploma,17371
"Negotiation, Sales Forecasting, CRM",1,181284,Batna,Sales,Business,High School,17372
"CPR, Phlebotomy, EMR, Anatomy, Patient Care, Medical Terminology",1,107600,Setif,Healthcare,Health,No Formal Education,17373
"TensorFlow, SQL, R",2,167310,Tizi Ouzou,Data Science,Information Technology,Bachelor's,17374
"Warehouse Ops, Inventory Management, Routing",12,61003,Constantine,Logistics,Supply Chain,No Formal Education,17375
"Plumbing, Masonry, Carpentry, Safety Procedures, Blueprint Reading, Site Management",4,84301,M'Sila,Construction,Construction,Ingénieur,17376
"Warehouse Ops, Supply Chain, Routing, Inventory Management",1,103780,Tlemcen,Logistics,Supply Chain,Ingénieur,17377
"Assessment, Teaching, E-Learning",1,66759,Tipaza,Education,Education,No Formal Education,17378
"Copywriting, Google Ads, Social Media",4,73377,Ouargla,Marketing,Business,Doctorate,17379
"Reservation Systems, Front Desk, Customer Service, Event Planning, Food Safety",7,71457,Batna,Hospitality,Tourism & Hospitality,Bachelor's,17380
"Virtualization, Scripting, Windows Server, Linux, Networking",11,144731,Mostaganem,System Administration,Information Technology,Technical Diploma,17381
"Inventory Management, Fleet Management, Warehouse Ops, Supply Chain",1,63885,Setif,Logistics,Supply Chain,Doctorate,17382
"Graphic Design, 3D Modeling, Creativity, Illustrator",1,65212,Constantine,Art & Design,Creative,Technical Diploma,17383
"Classroom Management, Curriculum Design, E-Learning, Mentoring",6,103554,Chlef,Education,Education,Bachelor's,17384
"Irrigation, Tractor Operation, Soil Testing, Pest Control, Crop Management",3,130757,Sidi Bel Abbès,Agriculture,Agriculture,Bachelor's,17385
"Contracts, Regulatory Compliance, Case Management, Legal Research",1,40773,Annaba,Legal,Legal,Master's,17386
"3D Modeling, UI/UX, Photoshop, Creativity",9,88157,Biskra,Art & Design,Creative,Bachelor's,17387
"Food Safety, Event Planning, Front Desk, Reservation Systems",1,157425,Batna,Hospitality,Tourism & Hospitality,Master's,17388
"SolidWorks, AutoCAD, Project Management, MATLAB",7,105478,M'Sila,Engineering,Engineering,Bachelor's,17389
"Customer Service, Sales Forecasting, Lead Generation, CRM",7,103798,Tizi Ouzou,Sales,Business,High School,17390
"MATLAB, Project Management, Design, AutoCAD",3,77472,Skikda,Engineering,Engineering,Technical Diploma,17391
"Responsive Design, JavaScript, CSS, Node.js",6,82196,Ghardaia,Web Development,Information Technology,Doctorate,17392
"Networking, Linux, Security, Scripting, Virtualization, Windows Server",4,89419,Sidi Bel Abbès,System Administration,Information Technology,Master's,17393
"Reservation Systems, Customer Service, Food Safety, Front Desk",1,68600,Ghardaia,Hospitality,Tourism & Hospitality,Technical Diploma,17394
"Warehouse Ops, Supply Chain, Fleet Management",8,79481,Blida,Logistics,Supply Chain,Master's,17395
"Budgeting, Excel, Financial Analysis, Accounting",2,170978,Batna,Finance,Business,High School,17396
"Firewalls, Network Security, Ethical Hacking, Forensics, SIEM, Penetration Testing",5,115750,Biskra,Cybersecurity,Information Technology,Bachelor's,17397
"SIEM, Firewalls, Ethical Hacking, Forensics",8,106844,Setif,Cybersecurity,Information Technology,Ingénieur,17398
"Auditing, Investment, Financial Analysis, Risk Management",9,175434,Algiers,Finance,Business,Bachelor's,17399
"Networking, Linux, Scripting",1,73226,Sidi Bel Abbès,System Administration,Information Technology,Master's,17400
"3D Modeling, Illustrator, UI/UX",2,106013,Tipaza,Art & Design,Creative,High School,17401
"Warehouse Ops, Inventory Management, Fleet Management, Supply Chain",1,143664,Sidi Bel Abbès,Logistics,Supply Chain,Master's,17402
"Pandas, SQL, TensorFlow, Python, Statistics",10,102856,Chlef,Data Science,Information Technology,Doctorate,17403
"Fleet Management, Routing, Inventory Management, Warehouse Ops, Supply Chain",1,104864,Chlef,Logistics,Supply Chain,Ingénieur,17404
"Site Management, Masonry, Blueprint Reading, Safety Procedures, Plumbing",6,134427,Biskra,Construction,Construction,Ingénieur,17405
"Routing, Warehouse Ops, Supply Chain, Inventory Management",1,90906,Batna,Logistics,Supply Chain,Technical Diploma,17406
"Node.js, HTML, Responsive Design, CSS",2,47299,M'Sila,Web Development,Information Technology,High School,17407
"Security, Linux, Windows Server, Networking, Virtualization",2,126930,Batna,System Administration,Information Technology,High School,17408
"Auditing, Financial Analysis, Excel, Risk Management, Budgeting, Investment",4,34728,Ghardaia,Finance,Business,Doctorate,17409
"Machine Learning, SQL, R, Pandas, TensorFlow",2,86344,Constantine,Data Science,Information Technology,No Formal Education,17410
"Anatomy, EMR, Patient Care, Phlebotomy, Medical Terminology, CPR",11,70514,Ghardaia,Healthcare,Health,No Formal Education,17411
"Project Management, Design, SolidWorks, AutoCAD, Blueprint Reading",6,176604,Biskra,Engineering,Engineering,Technical Diploma,17412
"HTML, Responsive Design, React, CSS, JavaScript, Node.js",9,65713,Annaba,Web Development,Information Technology,No Formal Education,17413
"Curriculum Design, Assessment, Teaching, Mentoring, Classroom Management, E-Learning",8,172167,Setif,Education,Education,High School,17414
"Negotiation, Contracts, Case Management, Litigation, Regulatory Compliance, Legal Research",1,70032,Oran,Legal,Legal,Bachelor's,17415
"Reservation Systems, Customer Service, Food Safety",9,67421,M'Sila,Hospitality,Tourism & Hospitality,Master's,17416
"Customer Service, Event Planning, Reservation Systems",1,62297,Tizi Ouzou,Hospitality,Tourism & Hospitality,Ingénieur,17417
"Machine Learning, TensorFlow, R, Data Visualization, Pandas",1,102093,Tipaza,Data Science,Information Technology,Bachelor's,17418
"TensorFlow, Data Visualization, R",1,76360,Relizane,Data Science,Information Technology,Doctorate,17419
"SEO, Branding, Google Ads, Copywriting, Analytics, Social Media",5,136271,Batna,Marketing,Business,High School,17420
"Python, Pandas, TensorFlow",3,101112,Relizane,Data Science,Information Technology,Master's,17421
"Scripting, Networking, Windows Server, Security, Virtualization, Linux",5,100377,Tlemcen,System Administration,Information Technology,Technical Diploma,17422
"Virtualization, Scripting, Security, Windows Server, Linux",2,69336,M'Sila,System Administration,Information Technology,Doctorate,17423
"Forensics, SIEM, Firewalls, Network Security, Ethical Hacking, Penetration Testing",4,96375,Tizi Ouzou,Cybersecurity,Information Technology,Bachelor's,17424
"Project Management, Design, AutoCAD, MATLAB, Blueprint Reading, SolidWorks",9,139962,Tlemcen,Engineering,Engineering,Master's,17425
"Creativity, 3D Modeling, Illustrator, Photoshop, UI/UX, Graphic Design",1,61385,Algiers,Art & Design,Creative,No Formal Education,17426
"Blueprint Reading, Site Management, Plumbing, Safety Procedures, Masonry",6,116612,Batna,Construction,Construction,High School,17427
"SolidWorks, Project Management, MATLAB, AutoCAD, Design",10,81497,Oran,Engineering,Engineering,Master's,17428
"Teaching, Mentoring, Curriculum Design, Classroom Management, Assessment, E-Learning",5,164704,Tizi Ouzou,Education,Education,Bachelor's,17429
"Crop Management, Pest Control, Irrigation, Agro-tech, Soil Testing, Tractor Operation",9,90397,Setif,Agriculture,Agriculture,Bachelor's,17430
"CSS, Responsive Design, WordPress",10,82646,Biskra,Web Development,Information Technology,No Formal Education,17431
"Responsive Design, HTML, WordPress",1,81363,Bordj Bou Arreridj,Web Development,Information Technology,Master's,17432
"WordPress, Responsive Design, HTML, Node.js, JavaScript",12,103836,Oran,Web Development,Information Technology,Technical Diploma,17433
"Network Security, Firewalls, Forensics, Penetration Testing, Ethical Hacking, SIEM",7,80179,Relizane,Cybersecurity,Information Technology,Doctorate,17434
"Security, Virtualization, Windows Server",14,118038,Annaba,System Administration,Information Technology,High School,17435
"Pest Control, Crop Management, Soil Testing",1,64258,Batna,Agriculture,Agriculture,Ingénieur,17436
"Copywriting, Analytics, Branding, Social Media",4,130976,Tlemcen,Marketing,Business,No Formal Education,17437
"Cold Calling, Lead Generation, CRM, Negotiation",1,68982,Tlemcen,Sales,Business,Ingénieur,17438
"3D Modeling, Graphic Design, Photoshop",2,98873,Blida,Art & Design,Creative,Ingénieur,17439
"Front Desk, Reservation Systems, Food Safety",3,136548,M'Sila,Hospitality,Tourism & Hospitality,No Formal Education,17440
"Customer Service, Event Planning, Food Safety",2,152510,Blida,Hospitality,Tourism & Hospitality,No Formal Education,17441
"AutoCAD, Blueprint Reading, SolidWorks, Design, Project Management, MATLAB",1,109831,Relizane,Engineering,Engineering,Technical Diploma,17442
"Medical Terminology, CPR, Phlebotomy, Patient Care",1,93386,M'Sila,Healthcare,Health,Ingénieur,17443
"Risk Management, Accounting, Budgeting, Financial Analysis",13,84921,Bordj Bou Arreridj,Finance,Business,Master's,17444
"Safety Procedures, Site Management, Masonry, Plumbing, Carpentry",4,90421,Tlemcen,Construction,Construction,Technical Diploma,17445
"Front Desk, Reservation Systems, Event Planning",6,60507,Setif,Hospitality,Tourism & Hospitality,Doctorate,17446
"Data Visualization, Statistics, R, SQL, Pandas, TensorFlow",12,190044,Ouargla,Data Science,Information Technology,High School,17447
"UI/UX, Photoshop, Graphic Design, Illustrator, 3D Modeling",4,127621,Bejaia,Art & Design,Creative,Master's,17448
"Security, Networking, Scripting",1,95443,Ghardaia,System Administration,Information Technology,High School,17449
"SEO, Analytics, Google Ads, Social Media",2,159566,Bordj Bou Arreridj,Marketing,Business,Ingénieur,17450
"Content Creation, SEO, Analytics, Branding",8,103032,Ouargla,Marketing,Business,No Formal Education,17451
"Lead Generation, Negotiation, CRM, Sales Forecasting",8,57483,Sidi Bel Abbès,Sales,Business,High School,17452
"Network Security, Firewalls, Forensics, Ethical Hacking, SIEM, Penetration Testing",12,182082,Sidi Bel Abbès,Cybersecurity,Information Technology,Ingénieur,17453
"MATLAB, AutoCAD, Blueprint Reading, Project Management, Design, SolidWorks",1,150442,Batna,Engineering,Engineering,High School,17454
"Python, Statistics, Pandas, Machine Learning, Data Visualization, TensorFlow",6,136528,Bejaia,Data Science,Information Technology,High School,17455
"Windows Server, Security, Scripting, Linux, Virtualization, Networking",3,68281,Blida,System Administration,Information Technology,Master's,17456
"Penetration Testing, Firewalls, Network Security, Forensics",3,116789,Algiers,Cybersecurity,Information Technology,No Formal Education,17457
"Blueprint Reading, Project Management, MATLAB, AutoCAD",4,64261,Tlemcen,Engineering,Engineering,Master's,17458
"Python, SQL, Git, C++, REST",14,97244,Batna,Software Engineering,Information Technology,Technical Diploma,17459
"Pest Control, Irrigation, Soil Testing, Agro-tech, Crop Management",3,68863,Blida,Agriculture,Agriculture,No Formal Education,17460
"Penetration Testing, Network Security, Forensics",1,114132,M'Sila,Cybersecurity,Information Technology,No Formal Education,17461
"Project Management, Design, Blueprint Reading, MATLAB, SolidWorks, AutoCAD",3,101865,Ouargla,Engineering,Engineering,Master's,17462
"Sales Forecasting, Lead Generation, CRM, Customer Service, Cold Calling, Negotiation",2,108744,Tizi Ouzou,Sales,Business,Master's,17463
"Creativity, UI/UX, 3D Modeling, Graphic Design, Photoshop, Illustrator",6,61737,Tipaza,Art & Design,Creative,Ingénieur,17464
"CSS, Responsive Design, JavaScript, HTML, Node.js",5,96735,Batna,Web Development,Information Technology,Ingénieur,17465
"CRM, Cold Calling, Customer Service, Negotiation, Sales Forecasting",1,40654,Setif,Sales,Business,Doctorate,17466
"CSS, WordPress, Node.js",1,177670,Algiers,Web Development,Information Technology,Doctorate,17467
"Virtualization, Scripting, Linux, Security",1,64337,Constantine,System Administration,Information Technology,Ingénieur,17468
"Fleet Management, Warehouse Ops, Inventory Management, Routing",1,117354,Tlemcen,Logistics,Supply Chain,No Formal Education,17469
"Social Media, SEO, Branding, Analytics, Content Creation",7,155372,Biskra,Marketing,Business,High School,17470
"SQL, Python, Data Visualization, TensorFlow, Pandas",8,62123,Tipaza,Data Science,Information Technology,Bachelor's,17471
"Classroom Management, E-Learning, Teaching, Assessment",14,139831,Chlef,Education,Education,Master's,17472
"Negotiation, Cold Calling, Lead Generation",7,117803,Constantine,Sales,Business,Doctorate,17473
"Accounting, Risk Management, Investment, Financial Analysis",6,188560,Relizane,Finance,Business,Bachelor's,17474
"Negotiation, Legal Research, Contracts, Litigation, Regulatory Compliance",6,108923,M'Sila,Legal,Legal,Technical Diploma,17475
"Windows Server, Networking, Scripting",12,70641,Mostaganem,System Administration,Information Technology,Master's,17476
"Linux, Networking, Virtualization, Windows Server, Scripting",4,118365,M'Sila,System Administration,Information Technology,Master's,17477
"R, Pandas, Statistics, Python, Machine Learning",1,69381,Algiers,Data Science,Information Technology,Ingénieur,17478
"Scripting, Linux, Networking, Virtualization, Windows Server, Security",2,173726,Oran,System Administration,Information Technology,Technical Diploma,17479
"AutoCAD, SolidWorks, MATLAB",10,94969,Skikda,Engineering,Engineering,Doctorate,17480
"Branding, Social Media, Content Creation, Analytics, Google Ads",3,92249,Tizi Ouzou,Marketing,Business,Doctorate,17481
"Branding, Social Media, SEO, Content Creation, Analytics",6,165574,Biskra,Marketing,Business,High School,17482
"Curriculum Design, Assessment, Classroom Management, E-Learning, Mentoring, Teaching",1,93633,Tlemcen,Education,Education,Master's,17483
"E-Learning, Classroom Management, Teaching, Assessment",1,62054,Blida,Education,Education,Bachelor's,17484
"E-Learning, Teaching, Mentoring",5,74861,Algiers,Education,Education,Ingénieur,17485
"Spring, REST, JavaScript, SQL, Java",2,146262,Blida,Software Engineering,Information Technology,Master's,17486
"Regulatory Compliance, Negotiation, Case Management, Legal Research, Litigation",14,182304,Mostaganem,Legal,Legal,High School,17487
"3D Modeling, Illustrator, UI/UX, Graphic Design",6,160100,Batna,Art & Design,Creative,Master's,17488
"CRM, Cold Calling, Lead Generation, Sales Forecasting, Negotiation, Customer Service",1,76247,Oran,Sales,Business,Bachelor's,17489
"Investment, Risk Management, Excel, Auditing, Budgeting",4,127158,Annaba,Finance,Business,Ingénieur,17490
"Warehouse Ops, Routing, Fleet Management",9,46875,Chlef,Logistics,Supply Chain,Doctorate,17491
"Phlebotomy, EMR, CPR, Patient Care, Anatomy, Medical Terminology",1,92546,Skikda,Healthcare,Health,Technical Diploma,17492
"Blueprint Reading, Project Management, Design, MATLAB, SolidWorks",5,115860,Annaba,Engineering,Engineering,Bachelor's,17493
"Patient Care, EMR, Anatomy, CPR, Phlebotomy, Medical Terminology",2,121454,Sidi Bel Abbès,Healthcare,Health,Doctorate,17494
"Linux, Windows Server, Virtualization",3,113948,Mostaganem,System Administration,Information Technology,High School,17495
"Accounting, Auditing, Excel, Risk Management",4,131252,Ouargla,Finance,Business,Ingénieur,17496
"MATLAB, SolidWorks, AutoCAD",5,43624,Relizane,Engineering,Engineering,High School,17497
"Customer Service, Lead Generation, Negotiation, Cold Calling, CRM, Sales Forecasting",1,139781,Annaba,Sales,Business,Master's,17498
"SolidWorks, Project Management, Design, AutoCAD, MATLAB",3,145137,Mostaganem,Engineering,Engineering,Bachelor's,17499
"Responsive Design, Node.js, JavaScript, HTML",8,53208,Bordj Bou Arreridj,Web Development,Information Technology,Doctorate,17500
"Food Safety, Front Desk, Reservation Systems, Event Planning, Customer Service",11,124091,Constantine,Hospitality,Tourism & Hospitality,High School,17501
"Blueprint Reading, Project Management, AutoCAD, MATLAB, SolidWorks, Design",9,138670,Bordj Bou Arreridj,Engineering,Engineering,No Formal Education,17502
"Fleet Management, Routing, Inventory Management, Supply Chain, Warehouse Ops",15,107932,Setif,Logistics,Supply Chain,Master's,17503
"Customer Service, Cold Calling, CRM, Lead Generation, Sales Forecasting, Negotiation",4,149509,Algiers,Sales,Business,Doctorate,17504
"Cold Calling, Negotiation, Customer Service",3,184611,M'Sila,Sales,Business,High School,17505
"Forensics, Network Security, SIEM",12,48117,M'Sila,Cybersecurity,Information Technology,Bachelor's,17506
"Tractor Operation, Pest Control, Soil Testing, Crop Management, Agro-tech",1,141786,M'Sila,Agriculture,Agriculture,No Formal Education,17507
"Analytics, Google Ads, Copywriting, Social Media, SEO, Branding",11,67491,Tizi Ouzou,Marketing,Business,Ingénieur,17508
"Negotiation, Lead Generation, Cold Calling, Sales Forecasting, Customer Service, CRM",4,168020,Ouargla,Sales,Business,No Formal Education,17509
"Regulatory Compliance, Contracts, Case Management, Litigation, Legal Research",7,65460,Constantine,Legal,Legal,No Formal Education,17510
"Security, Networking, Virtualization, Windows Server, Scripting",1,143674,Ouargla,System Administration,Information Technology,Master's,17511
"EMR, Phlebotomy, Patient Care, CPR, Medical Terminology, Anatomy",2,55944,Biskra,Healthcare,Health,Master's,17512
"Event Planning, Reservation Systems, Front Desk, Food Safety",2,145553,Algiers,Hospitality,Tourism & Hospitality,Master's,17513
"JavaScript, Spring, Python",15,99714,Sidi Bel Abbès,Software Engineering,Information Technology,No Formal Education,17514
"Accounting, Financial Analysis, Investment, Auditing",9,42261,Batna,Finance,Business,Master's,17515
"Linux, Networking, Windows Server, Scripting, Virtualization",2,71178,Sidi Bel Abbès,System Administration,Information Technology,Ingénieur,17516
"Phlebotomy, Patient Care, Anatomy, Medical Terminology",2,115466,Setif,Healthcare,Health,Bachelor's,17517
"Blueprint Reading, Safety Procedures, Carpentry",9,148251,Tipaza,Construction,Construction,High School,17518
"Virtualization, Networking, Scripting",10,109623,Ouargla,System Administration,Information Technology,High School,17519
"Excel, Financial Analysis, Risk Management, Accounting",1,64490,Tlemcen,Finance,Business,High School,17520
"Supply Chain, Inventory Management, Warehouse Ops, Routing, Fleet Management",11,65706,Mostaganem,Logistics,Supply Chain,No Formal Education,17521
"JavaScript, Responsive Design, Node.js, HTML, React",2,161251,Tizi Ouzou,Web Development,Information Technology,Master's,17522
"Inventory Management, Fleet Management, Routing",6,102851,Skikda,Logistics,Supply Chain,Ingénieur,17523
"Tractor Operation, Agro-tech, Irrigation, Pest Control, Crop Management, Soil Testing",9,121550,Ouargla,Agriculture,Agriculture,Bachelor's,17524
"Creativity, 3D Modeling, Photoshop",5,65923,Bordj Bou Arreridj,Art & Design,Creative,No Formal Education,17525
"Content Creation, Google Ads, Branding, SEO, Social Media",5,77895,Algiers,Marketing,Business,High School,17526
"Safety Procedures, Masonry, Site Management",3,84122,Blida,Construction,Construction,Doctorate,17527
"Accounting, Risk Management, Auditing, Financial Analysis, Excel",3,92501,Batna,Finance,Business,Doctorate,17528
"Supply Chain, Inventory Management, Routing",13,85100,M'Sila,Logistics,Supply Chain,High School,17529
"Food Safety, Event Planning, Customer Service, Reservation Systems, Front Desk",7,92610,Tipaza,Hospitality,Tourism & Hospitality,Bachelor's,17530
"Network Security, SIEM, Penetration Testing, Firewalls, Forensics, Ethical Hacking",2,110898,Bejaia,Cybersecurity,Information Technology,No Formal Education,17531
"Analytics, Content Creation, Google Ads",7,106920,Tizi Ouzou,Marketing,Business,Doctorate,17532
"Firewalls, Network Security, Penetration Testing, Forensics, Ethical Hacking, SIEM",1,115943,M'Sila,Cybersecurity,Information Technology,No Formal Education,17533
"Virtualization, Scripting, Security, Linux, Networking",3,128676,Chlef,System Administration,Information Technology,Ingénieur,17534
"Illustrator, Graphic Design, UI/UX",7,138955,Bejaia,Art & Design,Creative,High School,17535
"SIEM, Firewalls, Network Security, Ethical Hacking",5,146513,Bejaia,Cybersecurity,Information Technology,High School,17536
"Negotiation, Sales Forecasting, Lead Generation, Customer Service",1,69983,Batna,Sales,Business,High School,17537
"Supply Chain, Inventory Management, Routing, Fleet Management, Warehouse Ops",4,169186,Blida,Logistics,Supply Chain,Doctorate,17538
"Auditing, Excel, Accounting, Risk Management",3,64595,Algiers,Finance,Business,High School,17539
"Budgeting, Risk Management, Financial Analysis",13,47610,Mostaganem,Finance,Business,Doctorate,17540
"WordPress, React, HTML",9,69960,Batna,Web Development,Information Technology,Doctorate,17541
"Financial Analysis, Risk Management, Investment, Auditing, Excel, Budgeting",4,89125,Annaba,Finance,Business,Bachelor's,17542
"Python, TensorFlow, Pandas",4,71761,Tizi Ouzou,Data Science,Information Technology,Doctorate,17543
"Cold Calling, Negotiation, Sales Forecasting, Lead Generation, CRM",4,58112,Ghardaia,Sales,Business,Ingénieur,17544
"Windows Server, Networking, Virtualization",1,166021,Algiers,System Administration,Information Technology,Technical Diploma,17545
"CRM, Lead Generation, Sales Forecasting",5,96729,Tlemcen,Sales,Business,Ingénieur,17546
"JavaScript, SQL, C++, Spring, Django, Git",4,124492,Chlef,Software Engineering,Information Technology,Ingénieur,17547
"SQL, Spring, Python, REST",2,65401,Tlemcen,Software Engineering,Information Technology,Bachelor's,17548
"Sales Forecasting, Lead Generation, CRM, Negotiation",5,142604,Batna,Sales,Business,High School,17549
"Carpentry, Blueprint Reading, Masonry, Plumbing, Safety Procedures, Site Management",12,116138,Sidi Bel Abbès,Construction,Construction,Technical Diploma,17550
"Legal Research, Litigation, Negotiation",2,61462,Setif,Legal,Legal,High School,17551
"Phlebotomy, Medical Terminology, EMR",8,114487,Mostaganem,Healthcare,Health,No Formal Education,17552
"Content Creation, Copywriting, Google Ads, Branding",5,59829,Relizane,Marketing,Business,Technical Diploma,17553
"Photoshop, Graphic Design, 3D Modeling",2,181154,Biskra,Art & Design,Creative,Technical Diploma,17554
"Creativity, Photoshop, UI/UX, Illustrator, Graphic Design, 3D Modeling",4,34710,Chlef,Art & Design,Creative,Doctorate,17555
"Lead Generation, Cold Calling, Negotiation, Sales Forecasting, CRM",3,97232,Blida,Sales,Business,Doctorate,17556
"Warehouse Ops, Supply Chain, Routing, Inventory Management",5,68435,Skikda,Logistics,Supply Chain,Doctorate,17557
"E-Learning, Classroom Management, Mentoring, Assessment",4,90116,M'Sila,Education,Education,No Formal Education,17558
"Creativity, Illustrator, Photoshop, Graphic Design",11,78637,Bordj Bou Arreridj,Art & Design,Creative,Master's,17559
"Python, C++, Spring",1,133840,Tipaza,Software Engineering,Information Technology,Technical Diploma,17560
"WordPress, JavaScript, React, Node.js, Responsive Design, HTML",1,112877,M'Sila,Web Development,Information Technology,High School,17561
"Warehouse Ops, Routing, Inventory Management, Fleet Management, Supply Chain",7,38451,Biskra,Logistics,Supply Chain,Master's,17562
"Machine Learning, TensorFlow, Data Visualization, Pandas",7,107599,Oran,Data Science,Information Technology,Bachelor's,17563
"Penetration Testing, Forensics, Ethical Hacking, Firewalls, Network Security",2,107811,Bordj Bou Arreridj,Cybersecurity,Information Technology,High School,17564
"Tractor Operation, Agro-tech, Pest Control",3,102716,Oran,Agriculture,Agriculture,No Formal Education,17565
"SQL, JavaScript, C++, Git, Spring",3,59448,Bordj Bou Arreridj,Software Engineering,Information Technology,Master's,17566
"Irrigation, Tractor Operation, Pest Control, Soil Testing, Agro-tech",4,142272,Annaba,Agriculture,Agriculture,High School,17567
"Budgeting, Risk Management, Investment, Financial Analysis, Excel",3,112203,Ghardaia,Finance,Business,High School,17568
"Supply Chain, Inventory Management, Fleet Management, Routing",3,125824,Batna,Logistics,Supply Chain,Doctorate,17569
"Regulatory Compliance, Case Management, Legal Research, Contracts",14,54379,Oran,Legal,Legal,Ingénieur,17570
"Java, Django, JavaScript, C++, REST, Python",2,101308,Tipaza,Software Engineering,Information Technology,Ingénieur,17571
"Cold Calling, CRM, Lead Generation",3,95474,Sidi Bel Abbès,Sales,Business,Technical Diploma,17572
"Design, Blueprint Reading, AutoCAD, Project Management, SolidWorks",13,42380,Ghardaia,Engineering,Engineering,Bachelor's,17573
"Supply Chain, Fleet Management, Inventory Management, Warehouse Ops",14,142602,Tizi Ouzou,Logistics,Supply Chain,Ingénieur,17574
"Git, Java, SQL, C++, Python, Spring",9,74778,Tizi Ouzou,Software Engineering,Information Technology,Bachelor's,17575
"Contracts, Legal Research, Negotiation, Regulatory Compliance, Case Management",7,103028,Sidi Bel Abbès,Legal,Legal,Doctorate,17576
"Risk Management, Budgeting, Financial Analysis",5,116819,Ghardaia,Finance,Business,Bachelor's,17577
"Safety Procedures, Blueprint Reading, Masonry, Site Management, Carpentry",1,52836,Tipaza,Construction,Construction,Ingénieur,17578
"Linux, Networking, Virtualization",4,60131,Batna,System Administration,Information Technology,Bachelor's,17579
"Java, Git, C++, REST, SQL, Spring",1,112447,Ouargla,Software Engineering,Information Technology,Ingénieur,17580
"Reservation Systems, Food Safety, Event Planning, Front Desk, Customer Service",1,64707,Oran,Hospitality,Tourism & Hospitality,No Formal Education,17581
"Illustrator, Graphic Design, UI/UX, 3D Modeling, Creativity",3,65940,Oran,Art & Design,Creative,Doctorate,17582
"Financial Analysis, Investment, Accounting",1,195174,Chlef,Finance,Business,Technical Diploma,17583
"Accounting, Investment, Financial Analysis, Auditing, Budgeting, Excel",1,62427,Annaba,Finance,Business,Doctorate,17584
"CRM, Lead Generation, Sales Forecasting",5,76057,Ouargla,Sales,Business,Ingénieur,17585
"Creativity, 3D Modeling, Photoshop",10,49118,Tlemcen,Art & Design,Creative,No Formal Education,17586
"Google Ads, Copywriting, Social Media",12,82762,Bejaia,Marketing,Business,No Formal Education,17587
"SQL, Django, Python",4,115103,M'Sila,Software Engineering,Information Technology,Bachelor's,17588
"Java, Django, SQL, C++",1,84677,Bordj Bou Arreridj,Software Engineering,Information Technology,High School,17589
"Copywriting, Branding, Content Creation, Analytics",3,161856,Tlemcen,Marketing,Business,High School,17590
"Teaching, Classroom Management, Assessment",5,131556,Constantine,Education,Education,Master's,17591
"SEO, Copywriting, Google Ads, Content Creation, Branding",2,90575,Chlef,Marketing,Business,Master's,17592
"Patient Care, Anatomy, Phlebotomy",13,83912,Blida,Healthcare,Health,Master's,17593
"Mentoring, E-Learning, Curriculum Design, Teaching, Classroom Management, Assessment",2,171759,Ouargla,Education,Education,Doctorate,17594
"Graphic Design, Photoshop, Creativity",2,161085,Ouargla,Art & Design,Creative,Ingénieur,17595
"Budgeting, Investment, Excel, Financial Analysis",1,95616,Blida,Finance,Business,No Formal Education,17596
"Front Desk, Reservation Systems, Food Safety, Customer Service, Event Planning",2,171148,Annaba,Hospitality,Tourism & Hospitality,Bachelor's,17597
"SIEM, Ethical Hacking, Penetration Testing",12,154821,Mostaganem,Cybersecurity,Information Technology,Doctorate,17598
"Customer Service, Cold Calling, Lead Generation",2,122120,Bejaia,Sales,Business,High School,17599
"WordPress, React, Responsive Design",6,74116,Sidi Bel Abbès,Web Development,Information Technology,Ingénieur,17600
"Crop Management, Irrigation, Agro-tech",9,58343,Bordj Bou Arreridj,Agriculture,Agriculture,Ingénieur,17601
"Reservation Systems, Event Planning, Customer Service, Food Safety",2,130624,Biskra,Hospitality,Tourism & Hospitality,Technical Diploma,17602
"Photoshop, UI/UX, Graphic Design, Creativity",8,134649,Tizi Ouzou,Art & Design,Creative,Doctorate,17603
"Routing, Supply Chain, Warehouse Ops, Fleet Management",2,72424,Sidi Bel Abbès,Logistics,Supply Chain,Technical Diploma,17604
"Customer Service, Sales Forecasting, Cold Calling, Lead Generation, CRM",1,50598,Annaba,Sales,Business,Master's,17605
"Legal Research, Litigation, Case Management, Regulatory Compliance, Contracts, Negotiation",1,55855,Oran,Legal,Legal,Bachelor's,17606
"Tractor Operation, Agro-tech, Soil Testing, Crop Management, Irrigation",1,84733,Chlef,Agriculture,Agriculture,Technical Diploma,17607
"Python, Git, REST, JavaScript",4,83161,Oran,Software Engineering,Information Technology,No Formal Education,17608
"Git, JavaScript, C++, REST",5,68677,Biskra,Software Engineering,Information Technology,Ingénieur,17609
"Litigation, Case Management, Contracts, Negotiation",4,107402,Ghardaia,Legal,Legal,No Formal Education,17610
"3D Modeling, Photoshop, UI/UX",3,110964,Skikda,Art & Design,Creative,Doctorate,17611
